testCase;layer;group;title;dutRole;actor;mandatory;verdict;requirements;note
TC_SHIP_MDNS_001;SHIP;MDNS;Validate mDNS TXT record;Server;Any;M;passed;SHIP-TS-MDNS-01 SRIP-TS-TXT-01;
TC_SHIP_CONN_001;SHIP;CONN;Resolve simultaneous connections by SKI (DUT has larger SKI);ServerAndClient;Any;M;failed;SHIP-TS-CONN-01;the device kept the older connection A instead of the most recent one - it resolved the double connection by who initiated rather than by which is newer (the rule of ship-go, which the specification does not share)
TC_SHIP_ROLE_001;SHIP;ROLE;DUT as SME server;Server;Any;M;passed;SHIP-TS-ROLE-01 SHIP-TS-CMI-01;
TC_SHIP_ROLE_002;SHIP;ROLE;DUT as SME client;Client;Any;M;passed;SHIP-TS-ROLE-01 SHIP-TS-CMI-01;
TC_SHIP_ROLE_003;SHIP;ROLE;Simultaneous role polymorphism;ServerAndClient;Any;M;passed;SHIP-TS-ROLE-01;
TC_SHIP_SEC_001;SHIP;SEC;Reject spoofed certificate (no prior pairing);ServerOrClient;Any;M;passed;SHIP-TS-SEC-01;
TC_SHIP_SEC_002;SHIP;SEC;Reject spoofed certificate (with prior pairing);ServerOrClient;Any;M;passed;SHIP-TS-SEC-02;
TC_SHIP_MSG_001;SHIP;MSG;Reject message without MessageValue;ServerOrClient;Any;M;passed;SHIP-TS-MSG-01 SHIP-TS-CMI-01;
TC_SHIP_MSG_002;SHIP;MSG;Reject unknown MessageType;ServerOrClient;Any;M;passed;SHIP-TS-MSG-02;
TC_SHIP_MSG_003;SHIP;MSG;Support JSON whitespace formatting;ServerOrClient;Any;M;passed;SHIP-IG-01 SHIP-TS-ACC-01;
TC_SHIP_CMI_001;SHIP;CMI;Reject invalid MessageType (DUT as server);Server;Any;M;passed;SHIP-TS-CMI-02;
TC_SHIP_CMI_002;SHIP;CMI;Reject invalid MessageType (DUT as client);Client;Any;M;passed;SHIP-TS-CMI-02;
TC_SHIP_CMI_003;SHIP;CMI;Apply CmiTimeout (DUT as server);Server;Any;M;passed;SHIP-TS-CMI-04;
TC_SHIP_CMI_004;SHIP;CMI;Apply CmiTimeout (DUT as client);Client;Any;M;passed;SHIP-TS-CMI-04;
TC_SHIP_CMI_005;SHIP;CMI;Reject invalid CmiHead (DUT as server);Server;Any;M;passed;SHIP-TS-CMI-03;
TC_SHIP_CMI_006;SHIP;CMI;Reject invalid CmiHead (DUT as client);Client;Any;M;passed;SHIP-TS-CMI-03;
TC_SHIP_HELLO_001;SHIP;HELLO;Process valid Hello & enter protocol handshake;Server;Any;M;passed;SHIP-TS-HELLO-01;
TC_SHIP_HELLO_002;SHIP;HELLO;Accept prolongation requests;Server;Any;M;passed;SHIP-TS-HELLO-02;
